"module","theorem","fq_name","source"
"LRA.AlgebraicStructures.AdditiveCommutativeSemigroup.Laws.Definition","AddCommutative","LRA.AlgebraicStructures.AddCommutative","LRA\AlgebraicStructures\AdditiveCommutativeSemigroup\Laws\Definition.lean"
"LRA.AlgebraicStructures.AdditiveGroup.Laws.Definition","AddNegCancel","LRA.AlgebraicStructures.AddNegCancel","LRA\AlgebraicStructures\AdditiveGroup\Laws\Definition.lean"
"LRA.AlgebraicStructures.AdditiveGroup.Laws.Definition","NegAddCancel","LRA.AlgebraicStructures.NegAddCancel","LRA\AlgebraicStructures\AdditiveGroup\Laws\Definition.lean"
"LRA.AlgebraicStructures.AdditiveGroup.Laws.Definition","SubEqAddNeg","LRA.AlgebraicStructures.SubEqAddNeg","LRA\AlgebraicStructures\AdditiveGroup\Laws\Definition.lean"
"LRA.AlgebraicStructures.AdditiveMonoid.Laws.Definition","AddZero","LRA.AlgebraicStructures.AddZero","LRA\AlgebraicStructures\AdditiveMonoid\Laws\Definition.lean"
"LRA.AlgebraicStructures.AdditiveMonoid.Laws.Definition","ZeroAdd","LRA.AlgebraicStructures.ZeroAdd","LRA\AlgebraicStructures\AdditiveMonoid\Laws\Definition.lean"
"LRA.AlgebraicStructures.AdditiveSemigroup.Laws.Definition","AddAssociative","LRA.AlgebraicStructures.AddAssociative","LRA\AlgebraicStructures\AdditiveSemigroup\Laws\Definition.lean"
"LRA.AlgebraicStructures.CommutativeSemigroup.Laws.Definition","MulCommutative","LRA.AlgebraicStructures.MulCommutative","LRA\AlgebraicStructures\CommutativeSemigroup\Laws\Definition.lean"
"LRA.AlgebraicStructures.CommutativeSemiringWithoutZero.Laws.Definition","AddCancellative","LRA.AlgebraicStructures.AddCancellative","LRA\AlgebraicStructures\CommutativeSemiringWithoutZero\Laws\Definition.lean"
"LRA.AlgebraicStructures.CommutativeSemiringWithoutZero.Laws.Definition","MulCancellative","LRA.AlgebraicStructures.MulCancellative","LRA\AlgebraicStructures\CommutativeSemiringWithoutZero\Laws\Definition.lean"
"LRA.AlgebraicStructures.DiscreteInteger.Laws.Definition","MulPred","LRA.AlgebraicStructures.MulPred","LRA\AlgebraicStructures\DiscreteInteger\Laws\Definition.lean"
"LRA.AlgebraicStructures.DiscreteInteger.Laws.Definition","MulSucc","LRA.AlgebraicStructures.MulSucc","LRA\AlgebraicStructures\DiscreteInteger\Laws\Definition.lean"
"LRA.AlgebraicStructures.DiscreteInteger.Laws.Definition","PredInjective","LRA.AlgebraicStructures.PredInjective","LRA\AlgebraicStructures\DiscreteInteger\Laws\Definition.lean"
"LRA.AlgebraicStructures.DiscreteInteger.Laws.Definition","PredSucc","LRA.AlgebraicStructures.PredSucc","LRA\AlgebraicStructures\DiscreteInteger\Laws\Definition.lean"
"LRA.AlgebraicStructures.DiscreteInteger.Laws.Definition","SuccAperiodic","LRA.AlgebraicStructures.SuccAperiodic","LRA\AlgebraicStructures\DiscreteInteger\Laws\Definition.lean"
"LRA.AlgebraicStructures.DiscreteInteger.Laws.Definition","SuccEqAddOne","LRA.AlgebraicStructures.SuccEqAddOne","LRA\AlgebraicStructures\DiscreteInteger\Laws\Definition.lean"
"LRA.AlgebraicStructures.DiscreteInteger.Laws.Definition","SuccInjective","LRA.AlgebraicStructures.SuccInjective","LRA\AlgebraicStructures\DiscreteInteger\Laws\Definition.lean"
"LRA.AlgebraicStructures.DiscreteInteger.Laws.Definition","SuccPred","LRA.AlgebraicStructures.SuccPred","LRA\AlgebraicStructures\DiscreteInteger\Laws\Definition.lean"
"LRA.AlgebraicStructures.DiscreteInteger.Laws.Definition","TwoSidedInduction","LRA.AlgebraicStructures.TwoSidedInduction","LRA\AlgebraicStructures\DiscreteInteger\Laws\Definition.lean"
"LRA.AlgebraicStructures.DivisionRing.Laws.Definition","DivEqMulInv","LRA.AlgebraicStructures.DivEqMulInv","LRA\AlgebraicStructures\DivisionRing\Laws\Definition.lean"
"LRA.AlgebraicStructures.DivisionRing.Laws.Definition","InvZero","LRA.AlgebraicStructures.InvZero","LRA\AlgebraicStructures\DivisionRing\Laws\Definition.lean"
"LRA.AlgebraicStructures.DivisionRing.Laws.Definition","MulInvCancel","LRA.AlgebraicStructures.MulInvCancel","LRA\AlgebraicStructures\DivisionRing\Laws\Definition.lean"
"LRA.AlgebraicStructures.Group.Laws.Definition","InvMulCancel","LRA.AlgebraicStructures.InvMulCancel","LRA\AlgebraicStructures\Group\Laws\Definition.lean"
"LRA.AlgebraicStructures.Group.Laws.Definition","MulInvCancelGroup","LRA.AlgebraicStructures.MulInvCancelGroup","LRA\AlgebraicStructures\Group\Laws\Definition.lean"
"LRA.AlgebraicStructures.IntegralDomain.Laws.Definition","EqZeroOfMulEqZero","LRA.AlgebraicStructures.EqZeroOfMulEqZero","LRA\AlgebraicStructures\IntegralDomain\Laws\Definition.lean"
"LRA.AlgebraicStructures.MathlibBridge","instAdditiveCommutativeLaws","LRA.AlgebraicStructures.instAdditiveCommutativeLaws","LRA\AlgebraicStructures\MathlibBridge.lean"
"LRA.AlgebraicStructures.MathlibBridge","instAdditiveIdentityLaws","LRA.AlgebraicStructures.instAdditiveIdentityLaws","LRA\AlgebraicStructures\MathlibBridge.lean"
"LRA.AlgebraicStructures.MathlibBridge","instAdditiveInverseLaws","LRA.AlgebraicStructures.instAdditiveInverseLaws","LRA\AlgebraicStructures\MathlibBridge.lean"
"LRA.AlgebraicStructures.MathlibBridge","instAdditiveSemigroupLaws","LRA.AlgebraicStructures.instAdditiveSemigroupLaws","LRA\AlgebraicStructures\MathlibBridge.lean"
"LRA.AlgebraicStructures.MathlibBridge","instCommutativeRingLaws","LRA.AlgebraicStructures.instCommutativeRingLaws","LRA\AlgebraicStructures\MathlibBridge.lean"
