fq_name	short_name	namespace	kind	module	source_file	evidence_class	api_status	type_summary	universe_params	canonical_owner	disposition	notes
LRA.Algebra.AlgebraicStructureDefinition	AlgebraicStructureDefinition	LRA.Algebra	inductive	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	authored	public	Type.{succ u}	u	LRA.Algebra.AlgebraicStructureDefinition	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.Carrier	Carrier	LRA.Algebra.AlgebraicStructureDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_projection	public	LRA.Algebra.AlgebraicStructureDefinition.{u} -> Type.{u}	u	LRA.Algebra.AlgebraicStructureDefinition.Carrier	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition._sizeOf_1	_sizeOf_1	LRA.Algebra.AlgebraicStructureDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	LRA.Algebra.AlgebraicStructureDefinition.{u} -> Nat	u	LRA.Algebra.AlgebraicStructureDefinition._sizeOf_1	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition._sizeOf_inst	_sizeOf_inst	LRA.Algebra.AlgebraicStructureDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	SizeOf.{succ (succ u)} LRA.Algebra.AlgebraicStructureDefinition.{u}	u	LRA.Algebra.AlgebraicStructureDefinition._sizeOf_inst	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.casesOn	casesOn	LRA.Algebra.AlgebraicStructureDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall {motive : LRA.Algebra.AlgebraicStructureDefinition.{u} -> Sort.{u_1}} (t : LRA.Algebra.AlgebraicStructureDefinition.{u}), (forall (Carrier : Type.{u}) (structureData : Carrier -> Prop), motive (LRA.Algebra.AlgebraicStructureDefinition.mk.{u} Carrier structureData)) -> (motive t)	u_1,u	LRA.Algebra.AlgebraicStructureDefinition.casesOn	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.ctorIdx	ctorIdx	LRA.Algebra.AlgebraicStructureDefinition	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	LRA.Algebra.AlgebraicStructureDefinition.{u} -> Nat	u	LRA.Algebra.AlgebraicStructureDefinition.ctorIdx	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.mk	mk	LRA.Algebra.AlgebraicStructureDefinition	constructor	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_constructor	public	forall (Carrier : Type.{u}), (Carrier -> Prop) -> LRA.Algebra.AlgebraicStructureDefinition.{u}	u	LRA.Algebra.AlgebraicStructureDefinition.mk	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.mk._flat_ctor	_flat_ctor	LRA.Algebra.AlgebraicStructureDefinition.mk	definition	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall (Carrier : Type.{u}), (Carrier -> Prop) -> LRA.Algebra.AlgebraicStructureDefinition.{u}	u	LRA.Algebra.AlgebraicStructureDefinition.mk._flat_ctor	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.mk.inj	inj	LRA.Algebra.AlgebraicStructureDefinition.mk	theorem	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall {Carrier : Type.{u}} {structureData : Carrier -> Prop} {Carrier_1 : Type.{u}} {structureData_1 : Carrier_1 -> Prop}, (Eq.{succ (succ u)} LRA.Algebra.AlgebraicStructureDefinition.{u} (LRA.Algebra.AlgebraicStructureDefinition.mk.{u} Carrier structureData) (LRA.Algebra.AlgebraicStructureDefinition.mk.{u} Carrier_1 structureData_1)) -> (And (Eq.{succ (succ u)} Type.{u} Carrier Carrier_1) (HEq.{succ u} (Carrier -> Prop) structureData (Carrier_1 -> Prop) structureData_1))	u	LRA.Algebra.AlgebraicStructureDefinition.mk.inj	KEEP	compiled environment plus reconciled source scan
LRA.Algebra.AlgebraicStructureDefinition.mk.injEq	injEq	LRA.Algebra.AlgebraicStructureDefinition.mk	theorem	LRA.VolumeVI.AbstractAlgebra.Foundations.Structures	LRA/VolumeVI/AbstractAlgebra/Foundations/Structures.lean	generated_or_elaborated	public	forall (Carrier : Type.{u}) (structureData : Carrier -> Prop) (Carrier_1 : Type.{u}) (structureData_1 : Carrier_1 -> Prop), Eq.{1} Prop (Eq.{succ (succ u)} LRA.Algebra.AlgebraicStructureDefinition.{u} (LRA.Algebra.AlgebraicStructureDefinition.mk.{u} Carrier structureData) (LRA.Algebra.AlgebraicStructureDefinition.mk.{u} Carrier_1 structureData_1)) (And (Eq.{succ (succ u)} Type.{u} Carrier Carrier_1) (HEq.{succ u} (Carrier -> Prop) structureData (Carrier_1 -> Prop) structureData_1))	u	LRA.Algebra.AlgebraicStructureDefinition.mk.injEq	KEEP	compiled environment plus reconciled source scan
